nodes/id,nodes/class_name,nodes/properties/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/states/0,nodes/properties/4,nodes/properties/5,nodes/states/1
278,sofa,SURFACES,SITTABLE,LIEABLE,MOVABLE,,,,
279,nightstand,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
280,bed,SURFACES,SITTABLE,LIEABLE,,,,,
281,cabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
282,bathroom,,,,,,,,
283,floor,SURFACES,,,,,,,
284,floor,SURFACES,,,,,,,
285,floor,SURFACES,,,,,,,
286,floor,SURFACES,,,,,,,
287,wall,,,,,,,,
288,wall,,,,,,,,
289,wall,,,,,,,,
290,wall,,,,,,,,
291,ceiling,,,,,,,,
292,ceiling,,,,,,,,
293,ceiling,,,,,,,,
294,ceiling,,,,,,,,
295,doorjamb,,,,,,,,
296,door,CAN_OPEN,,,,OPEN,,,
297,walllamp,,,,,,,,
298,ceilinglamp,,,,,,,,
299,stall,,,,,,,,
300,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,,CLOSED,,,
301,stall,,,,,,,,
302,toilet,SITTABLE,CAN_OPEN,CONTAINERS,,CLOSED,,,
303,bathroomcabinet,SURFACES,CAN_OPEN,CONTAINERS,,CLOSED,,,
304,bathroomcounter,SURFACES,,,,CLOSED,,,
305,sink,RECIPIENT,CONTAINERS,,,,,,
306,faucet,HAS_SWITCH,,,,OFF,,,
307,towelrack,SURFACES,GRABBABLE,MOVABLE,,,,,
308,closet,CAN_OPEN,CONTAINERS,,,CLOSED,,,
309,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
310,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
311,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
312,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
313,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
314,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
315,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
316,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
317,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
318,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
319,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
320,closetdrawer,,,,,,,,
321,closetdrawer,,,,,,,,
322,closetdrawer,,,,,,,,
323,closet,CAN_OPEN,CONTAINERS,,,CLOSED,,,
324,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
325,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
326,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
327,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
328,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
329,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
330,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
331,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
332,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
333,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
334,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
335,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
336,closetdrawer,,,,,,,,
337,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
338,closetdrawer,,,,,,,,
339,closetdrawer,,,,,,,,
340,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
341,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
342,closetdrawer,,,,,,,,
343,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
344,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
345,closetdrawer,,,,,,,,
346,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,
347,towelrack,SURFACES,GRABBABLE,MOVABLE,,,,,
348,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
349,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
350,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
351,toiletpaper,GRABBABLE,HANGABLE,CUTTABLE,COVER_OBJECT,,HAS_PAPER,MOVABLE,
352,washingsponge,GRABBABLE,MOVABLE,,,,,,
353,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,,,
354,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,,,
355,slippers,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
356,slippers,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
357,waterglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
358,toothbrush,GRABBABLE,RECIPIENT,MOVABLE,,,,,
359,barsoap,GRABBABLE,MOVABLE,CREAM,,,,,
360,perfume,,,,,,,,
361,deodorant,,,,,,,,
362,facecream,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
363,painkillers,,,,,,,,
364,toothpaste,GRABBABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,CREAM,,
365,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
366,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
367,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
368,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,,MOVABLE,,
369,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,,MOVABLE,,
370,powersocket,,,,,,,,
371,powersocket,,,,,,,,
372,lightswitch,HAS_SWITCH,HAS_PLUG,,,ON,,,
373,washingmachine,RECIPIENT,CAN_OPEN,HAS_SWITCH,CONTAINERS,CLOSED,HAS_PLUG,,OFF
