nodes/id,nodes/class_name,nodes/properties/0,nodes/states/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/properties/4,nodes/properties/5,nodes/states/1
68,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
69,cutleryfork,GRABBABLE,,MOVABLE,,,,,
70,cutleryknife,GRABBABLE,,MOVABLE,,,,,
71,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
72,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
73,cutleryknife,GRABBABLE,,MOVABLE,,,,,
74,cutleryfork,GRABBABLE,,MOVABLE,,,,,
75,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
76,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
77,cutleryfork,GRABBABLE,,MOVABLE,,,,,
78,cutleryknife,GRABBABLE,,MOVABLE,,,,,
79,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
80,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
81,cutleryknife,GRABBABLE,,MOVABLE,,,,,
82,cutleryfork,GRABBABLE,,MOVABLE,,,,,
83,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
84,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
85,cutleryfork,GRABBABLE,,MOVABLE,,,,,
86,cutleryknife,GRABBABLE,,MOVABLE,,,,,
87,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
88,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
89,cutleryknife,GRABBABLE,,MOVABLE,,,,,
90,cutleryfork,GRABBABLE,,MOVABLE,,,,,
91,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
92,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
93,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
94,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
95,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
96,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
97,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
98,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
99,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
100,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
101,cutleryknife,GRABBABLE,,MOVABLE,,,,,
102,cutleryfork,GRABBABLE,,MOVABLE,,,,,
103,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
104,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
105,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
106,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
107,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
108,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
109,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
110,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
111,photoframe,,,,,,,,
112,clothespile,GRABBABLE,CLOSED,CAN_OPEN,CONTAINERS,MOVABLE,,,
113,clothespile,GRABBABLE,CLOSED,CAN_OPEN,CONTAINERS,MOVABLE,,,
114,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,MOVABLE,
115,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
116,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
117,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
118,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
119,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
120,cellphone,GRABBABLE,OFF,HAS_SWITCH,HAS_PLUG,MOVABLE,,,
121,folder,GRABBABLE,CLOSED,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,MOVABLE,
122,washingsponge,GRABBABLE,,MOVABLE,,,,,
123,dishwashingliquid,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
124,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
125,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
126,candle,GRABBABLE,OFF,HAS_SWITCH,MOVABLE,,,,
127,orchid,,,,,,,,
128,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
129,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
130,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
131,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
132,bench,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
133,kitchentable,SURFACES,,MOVABLE,,,,,
134,bench,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
135,bench,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
136,bench,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
137,kitchentable,SURFACES,,MOVABLE,,,,,
138,kitchencounter,SURFACES,CLOSED,,,,,,
139,kitchencounter,SURFACES,CLOSED,,,,,,
140,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
141,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
142,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
143,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
144,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
145,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
146,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
147,kitchencabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
148,kitchencounter,SURFACES,CLOSED,,,,,,
149,kitchencounterdrawer,,,,,,,,
150,kitchencounterdrawer,,,,,,,,
151,kitchencounterdrawer,,,,,,,,
152,kitchencounterdrawer,,,,,,,,
153,kitchencounterdrawer,,,,,,,,
154,kitchencounterdrawer,,,,,,,,
155,kitchencounterdrawer,,,,,,,,
156,kitchencounterdrawer,,,,,,,,
157,sink,RECIPIENT,,CONTAINERS,,,,,
158,faucet,HAS_SWITCH,OFF,,,,,,
159,tvstand,SURFACES,,MOVABLE,,,,,
160,bookshelf,SURFACES,,CONTAINERS,,,,,
161,bookshelf,SURFACES,,CONTAINERS,,,,,
162,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
163,stovefan,,,,,,,,
164,fridge,CAN_OPEN,CLOSED,HAS_SWITCH,CONTAINERS,HAS_PLUG,,,
165,stove,SURFACES,OFF,CAN_OPEN,HAS_SWITCH,CONTAINERS,,,CLOSED
166,oventray,SURFACES,,GRABBABLE,MOVABLE,,,,
167,dishwasher,CAN_OPEN,CLOSED,HAS_SWITCH,CONTAINERS,,,,OFF
168,toaster,HAS_SWITCH,OFF,CONTAINERS,HAS_PLUG,MOVABLE,,,
169,breadslice,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
170,breadslice,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
171,coffeemaker,RECIPIENT,OFF,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,MOVABLE,
172,coffeepot,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,MOVABLE,,,
173,microwave,CAN_OPEN,CLOSED,HAS_SWITCH,CONTAINERS,HAS_PLUG,,,OFF
174,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
175,juice,GRABBABLE,,DRINKABLE,POURABLE,MOVABLE,,,
176,juice,GRABBABLE,,DRINKABLE,POURABLE,MOVABLE,,,
177,cutlets,GRABBABLE,,MOVABLE,,,,,
178,milk,GRABBABLE,CLOSED,DRINKABLE,POURABLE,CAN_OPEN,MOVABLE,,
179,milk,GRABBABLE,CLOSED,DRINKABLE,POURABLE,CAN_OPEN,MOVABLE,,
180,bananas,GRABBABLE,,MOVABLE,,,,,
181,bananas,GRABBABLE,,MOVABLE,,,,,
182,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
183,salmon,GRABBABLE,,MOVABLE,,,,,
184,mincedmeat,GRABBABLE,,MOVABLE,,,,,
185,bottlewater,DRINKABLE,,POURABLE,,,,,
186,cereal,GRABBABLE,,EATABLE,MOVABLE,,,,
187,salad,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
188,livingroom,,,,,,,,
189,floor,SURFACES,,,,,,,
190,floor,SURFACES,,,,,,,
191,floor,SURFACES,,,,,,,
192,floor,SURFACES,,,,,,,
193,floor,SURFACES,,,,,,,
194,floor,SURFACES,,,,,,,
195,wall,,,,,,,,
196,wall,,,,,,,,
197,wall,,,,,,,,
198,wall,,,,,,,,
199,wall,,,,,,,,
200,wall,,,,,,,,
201,ceiling,,,,,,,,
202,ceiling,,,,,,,,
203,ceiling,,,,,,,,
204,ceiling,,,,,,,,
205,ceiling,,,,,,,,
206,ceiling,,,,,,,,
207,window,CAN_OPEN,CLOSED,,,,,,
208,doorjamb,,,,,,,,
209,walllamp,,,,,,,,
210,walllamp,,,,,,,,
211,ceilinglamp,,,,,,,,
212,tvstand,SURFACES,,MOVABLE,,,,,
213,wallshelf,,,,,,,,
214,bookshelf,SURFACES,,CONTAINERS,,,,,
215,bookshelf,SURFACES,,CONTAINERS,,,,,
216,wallshelf,,,,,,,,
217,wallshelf,,,,,,,,
218,sofa,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
219,candle,GRABBABLE,OFF,HAS_SWITCH,MOVABLE,,,,
220,pillow,GRABBABLE,,MOVABLE,,,,,
221,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
222,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
223,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
224,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
225,orchid,,,,,,,,
226,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
227,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
228,cupcake,GRABBABLE,,EATABLE,MOVABLE,,,,
229,cupcake,GRABBABLE,,EATABLE,MOVABLE,,,,
230,cupcake,GRABBABLE,,EATABLE,MOVABLE,,,,
231,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
232,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
233,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
234,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,MOVABLE,
235,photoframe,,,,,,,,
236,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
237,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
238,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
239,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
240,slippers,GRABBABLE,,HANGABLE,CLOTHES,MOVABLE,,,
241,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
242,tv,HAS_SWITCH,OFF,LOOKABLE,HAS_PLUG,,,,
243,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
244,powersocket,,,,,,,,
245,breadslice,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
246,bedroom,,,,,,,,
247,floor,SURFACES,,,,,,,
248,floor,SURFACES,,,,,,,
249,floor,SURFACES,,,,,,,
250,floor,SURFACES,,,,,,,
251,ceiling,,,,,,,,
252,ceiling,,,,,,,,
253,ceiling,,,,,,,,
254,ceiling,,,,,,,,
255,wall,,,,,,,,
256,wall,,,,,,,,
257,wall,,,,,,,,
258,wall,,,,,,,,
259,door,CAN_OPEN,OPEN,,,,,,
260,ceilinglamp,,,,,,,,
261,tablelamp,HAS_SWITCH,ON,HAS_PLUG,,,,,
262,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
263,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
264,pillow,GRABBABLE,,MOVABLE,,,,,
265,pillow,GRABBABLE,,MOVABLE,,,,,
266,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
267,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
268,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
269,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
270,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
271,photoframe,,,,,,,,
272,facecream,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
273,deodorant,,,,,,,,
274,perfume,,,,,,,,
275,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,MOVABLE,
276,painkillers,,,,,,,,
277,poundcake,GRABBABLE,,EATABLE,MOVABLE,,,,
278,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
279,cellphone,GRABBABLE,OFF,HAS_SWITCH,HAS_PLUG,MOVABLE,,,
280,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
281,folder,GRABBABLE,CLOSED,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,MOVABLE,
282,folder,GRABBABLE,CLOSED,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,MOVABLE,
283,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
284,powersocket,,,,,,,,
285,bookshelf,SURFACES,,CONTAINERS,,,,,
286,desk,SURFACES,CLOSED,CAN_OPEN,MOVABLE,,,,
287,nightstand,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
288,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
289,bed,SURFACES,,SITTABLE,LIEABLE,,,,
290,bathroom,,,,,,,,
291,wall,,,,,,,,
292,wall,,,,,,,,
293,wall,,,,,,,,
294,wall,,,,,,,,
295,wall,,,,,,,,
296,wall,,,,,,,,
297,floor,SURFACES,,,,,,,
298,floor,SURFACES,,,,,,,
299,floor,SURFACES,,,,,,,
300,floor,SURFACES,,,,,,,
301,floor,SURFACES,,,,,,,
302,floor,SURFACES,,,,,,,
303,ceiling,,,,,,,,
304,ceiling,,,,,,,,
305,ceiling,,,,,,,,
306,ceiling,,,,,,,,
307,ceiling,,,,,,,,
308,ceiling,,,,,,,,
309,doorjamb,,,,,,,,
310,door,CAN_OPEN,OPEN,,,,,,
311,window,CAN_OPEN,CLOSED,,,,,,
312,ceilinglamp,,,,,,,,
313,walllamp,,,,,,,,
314,walllamp,,,,,,,,
315,walllamp,,,,,,,,
316,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
317,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
318,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
319,candle,GRABBABLE,OFF,HAS_SWITCH,MOVABLE,,,,
320,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
321,bathtub,SITTABLE,,LIEABLE,,,,,
322,towelrack,SURFACES,,GRABBABLE,MOVABLE,,,,
323,towelrack,SURFACES,,GRABBABLE,MOVABLE,,,,
324,towelrack,SURFACES,,GRABBABLE,MOVABLE,,,,
325,wallshelf,,,,,,,,
326,toilet,SITTABLE,CLOSED,CAN_OPEN,CONTAINERS,,,,
327,stall,,,,,,,,
328,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
329,bathroomcabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
330,bathroomcounter,SURFACES,CLOSED,,,,,,
331,sink,RECIPIENT,,CONTAINERS,,,,,
332,faucet,HAS_SWITCH,OFF,,,,,,
333,towel,GRABBABLE,,COVER_OBJECT,MOVABLE,,,,
334,towel,GRABBABLE,,COVER_OBJECT,MOVABLE,,,,
335,towel,GRABBABLE,,COVER_OBJECT,MOVABLE,,,,
336,perfume,,,,,,,,
337,deodorant,,,,,,,,
338,hairproduct,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,,,
339,hairproduct,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,,,
340,facecream,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
341,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
342,toothpaste,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,CREAM,,
343,painkillers,,,,,,,,
344,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
345,toothbrush,GRABBABLE,,RECIPIENT,MOVABLE,,,,
346,barsoap,GRABBABLE,,MOVABLE,CREAM,,,,
347,towel,GRABBABLE,,COVER_OBJECT,MOVABLE,,,,
348,towel,GRABBABLE,,COVER_OBJECT,MOVABLE,,,,
349,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
350,washingmachine,RECIPIENT,CLOSED,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,,OFF
351,bedroom,,,,,,,,
352,floor,SURFACES,,,,,,,
353,floor,SURFACES,,,,,,,
354,floor,SURFACES,,,,,,,
355,floor,SURFACES,,,,,,,
356,floor,SURFACES,,,,,,,
357,floor,SURFACES,,,,,,,
358,floor,SURFACES,,,,,,,
359,floor,SURFACES,,,,,,,
360,floor,SURFACES,,,,,,,
361,wall,,,,,,,,
362,wall,,,,,,,,
363,wall,,,,,,,,
364,wall,,,,,,,,
365,wall,,,,,,,,
366,wall,,,,,,,,
367,wall,,,,,,,,
368,wall,,,,,,,,
369,window,CAN_OPEN,CLOSED,,,,,,
370,ceiling,,,,,,,,
371,ceiling,,,,,,,,
372,ceiling,,,,,,,,
373,ceiling,,,,,,,,
374,ceiling,,,,,,,,
375,ceiling,,,,,,,,
376,ceiling,,,,,,,,
377,ceiling,,,,,,,,
378,ceiling,,,,,,,,
379,doorjamb,,,,,,,,
380,ceilinglamp,,,,,,,,
381,tablelamp,HAS_SWITCH,ON,HAS_PLUG,,,,,
382,tablelamp,HAS_SWITCH,ON,HAS_PLUG,,,,,
383,garbagecan,CAN_OPEN,CLOSED,CONTAINERS,MOVABLE,,,,
384,photoframe,,,,,,,,
385,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
386,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,MOVABLE,
387,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,MOVABLE,
388,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
389,mug,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
390,cupcake,GRABBABLE,,EATABLE,MOVABLE,,,,
391,pillow,GRABBABLE,,MOVABLE,,,,,
392,toy,GRABBABLE,,MOVABLE,,,,,
393,pillow,GRABBABLE,,MOVABLE,,,,,
394,remotecontrol,GRABBABLE,OFF,HAS_SWITCH,MOVABLE,,,,
395,bookshelf,SURFACES,,CONTAINERS,,,,,
396,nightstand,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
397,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
398,desk,SURFACES,CLOSED,CAN_OPEN,MOVABLE,,,,
399,bed,SURFACES,,SITTABLE,LIEABLE,,,,
400,closet,CAN_OPEN,CLOSED,CONTAINERS,,,,,
401,cabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
402,computer,HAS_SWITCH,OFF,LOOKABLE,,,,,
403,mouse,GRABBABLE,,HAS_PLUG,MOVABLE,,,,
404,mousemat,SURFACES,,MOVABLE,,,,,
405,keyboard,GRABBABLE,,HAS_PLUG,MOVABLE,,,,
406,cpuscreen,,,,,,,,
407,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
408,radio,SURFACES,OFF,GRABBABLE,CAN_OPEN,HAS_SWITCH,HAS_PLUG,MOVABLE,
409,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
410,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
411,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
412,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
413,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
414,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
415,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
