nodes/id,nodes/class_name,nodes/properties/0,nodes/properties/1,nodes/properties/2,nodes/states/0,nodes/properties/3,nodes/properties/4,nodes/properties/5,nodes/states/1
46,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,,,
47,rug,SURFACES,GRABBABLE,SITTABLE,,LIEABLE,MOVABLE,,
48,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
49,ceilinglamp,,,,,,,,
50,walllamp,,,,,,,,
51,walllamp,,,,,,,,
52,doorjamb,,,,,,,,
53,door,CAN_OPEN,,,OPEN,,,,
54,lightswitch,HAS_SWITCH,HAS_PLUG,,ON,,,,
55,washingmachine,RECIPIENT,CAN_OPEN,HAS_SWITCH,CLOSED,CONTAINERS,HAS_PLUG,,OFF
56,kitchen,,,,,,,,
57,floor,SURFACES,,,,,,,
58,floor,SURFACES,,,,,,,
59,floor,SURFACES,,,,,,,
60,floor,SURFACES,,,,,,,
61,floor,SURFACES,,,,,,,
62,floor,SURFACES,,,,,,,
63,floor,SURFACES,,,,,,,
64,floor,SURFACES,,,,,,,
65,floor,SURFACES,,,,,,,
66,ceiling,,,,,,,,
67,ceiling,,,,,,,,
68,ceiling,,,,,,,,
69,ceiling,,,,,,,,
70,ceiling,,,,,,,,
71,ceiling,,,,,,,,
72,ceiling,,,,,,,,
73,ceiling,,,,,,,,
74,ceiling,,,,,,,,
75,wall,,,,,,,,
76,wall,,,,,,,,
77,wall,,,,,,,,
78,wall,,,,,,,,
79,wall,,,,,,,,
80,wall,,,,,,,,
81,wall,,,,,,,,
82,wall,,,,,,,,
83,wallphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,OFF,MOVABLE,,,
84,powersocket,,,,,,,,
85,lightswitch,HAS_SWITCH,HAS_PLUG,,ON,,,,
86,ceilingfan,,,,,,,,
87,cutleryknife,GRABBABLE,MOVABLE,,,,,,
88,cutleryknife,GRABBABLE,MOVABLE,,,,,,
89,knifeblock,,,,,,,,
90,fryingpan,SURFACES,GRABBABLE,RECIPIENT,,CONTAINERS,MOVABLE,,
91,cookingpot,GRABBABLE,RECIPIENT,CAN_OPEN,CLOSED,MOVABLE,,,
92,book,GRABBABLE,CUTTABLE,CAN_OPEN,CLOSED,READABLE,HAS_PAPER,MOVABLE,
93,book,GRABBABLE,CUTTABLE,CAN_OPEN,CLOSED,READABLE,HAS_PAPER,MOVABLE,
94,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
95,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
96,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
97,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
98,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
99,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
100,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
101,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
102,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
103,dishwashingliquid,GRABBABLE,POURABLE,MOVABLE,,CREAM,,,
104,condimentshaker,GRABBABLE,EATABLE,POURABLE,,MOVABLE,,,
105,condimentshaker,GRABBABLE,EATABLE,POURABLE,,MOVABLE,,,
106,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
107,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
108,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,CLOSED,MOVABLE,,,
109,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,CLOSED,MOVABLE,,,
110,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,CLOSED,MOVABLE,,,
111,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,CLOSED,MOVABLE,,,
112,garbagecan,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,,
113,paper,GRABBABLE,READABLE,HAS_PAPER,,MOVABLE,,,
114,washingsponge,GRABBABLE,MOVABLE,,,,,,
115,folder,GRABBABLE,CAN_OPEN,READABLE,CLOSED,CONTAINERS,HAS_PAPER,MOVABLE,
116,folder,GRABBABLE,CAN_OPEN,READABLE,CLOSED,CONTAINERS,HAS_PAPER,MOVABLE,
117,folder,GRABBABLE,CAN_OPEN,READABLE,CLOSED,CONTAINERS,HAS_PAPER,MOVABLE,
118,folder,GRABBABLE,CAN_OPEN,READABLE,CLOSED,CONTAINERS,HAS_PAPER,MOVABLE,
119,crayons,GRABBABLE,MOVABLE,,,,,,
120,notes,GRABBABLE,READABLE,HAS_PAPER,,MOVABLE,,,
121,towel,GRABBABLE,COVER_OBJECT,MOVABLE,,,,,
122,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
123,pillow,GRABBABLE,MOVABLE,,,,,,
124,pillow,GRABBABLE,MOVABLE,,,,,,
125,candle,GRABBABLE,HAS_SWITCH,MOVABLE,OFF,,,,
126,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
127,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
128,candle,GRABBABLE,HAS_SWITCH,MOVABLE,OFF,,,,
129,bench,SURFACES,SITTABLE,LIEABLE,,MOVABLE,,,
130,kitchentable,SURFACES,MOVABLE,,,,,,
131,bench,SURFACES,SITTABLE,LIEABLE,,MOVABLE,,,
132,tvstand,SURFACES,MOVABLE,,,,,,
133,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
134,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
135,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
136,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
137,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
138,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
139,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
140,kitchencabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
141,kitchencounter,SURFACES,,,CLOSED,,,,
142,kitchencounterdrawer,,,,,,,,
143,kitchencounterdrawer,,,,,,,,
144,kitchencounterdrawer,,,,,,,,
145,kitchencounterdrawer,,,,,,,,
146,kitchencounterdrawer,,,,,,,,
147,kitchencounterdrawer,,,,,,,,
148,kitchencounterdrawer,,,,,,,,
149,sink,RECIPIENT,CONTAINERS,,,,,,
150,faucet,HAS_SWITCH,,,OFF,,,,
151,kitchencounter,SURFACES,,,CLOSED,,,,
152,bookshelf,SURFACES,CONTAINERS,,,,,,
153,chair,SURFACES,GRABBABLE,SITTABLE,,MOVABLE,,,
154,chair,SURFACES,GRABBABLE,SITTABLE,,MOVABLE,,,
155,bookshelf,SURFACES,CONTAINERS,,,,,,
156,stovefan,,,,,,,,
157,stove,SURFACES,CAN_OPEN,HAS_SWITCH,OFF,CONTAINERS,,,CLOSED
158,oventray,SURFACES,GRABBABLE,MOVABLE,,,,,
159,dishwasher,CAN_OPEN,HAS_SWITCH,CONTAINERS,CLOSED,,,,OFF
160,coffeemaker,RECIPIENT,CAN_OPEN,HAS_SWITCH,OFF,CONTAINERS,HAS_PLUG,MOVABLE,
161,coffeepot,GRABBABLE,RECIPIENT,CAN_OPEN,CLOSED,MOVABLE,,,
162,toaster,HAS_SWITCH,CONTAINERS,HAS_PLUG,OFF,MOVABLE,,,
163,breadslice,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
164,breadslice,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
165,fridge,CAN_OPEN,HAS_SWITCH,CONTAINERS,CLOSED,HAS_PLUG,,,
166,fridge,CAN_OPEN,HAS_SWITCH,CONTAINERS,CLOSED,HAS_PLUG,,,
167,microwave,CAN_OPEN,HAS_SWITCH,CONTAINERS,CLOSED,HAS_PLUG,,,OFF
168,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
169,ceilinglamp,,,,,,,,
170,ceilinglamp,,,,,,,,
171,walllamp,,,,,,,,
172,walllamp,,,,,,,,
173,chicken,GRABBABLE,MOVABLE,,,,,,
174,cutlets,GRABBABLE,MOVABLE,,,,,,
175,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
176,poundcake,GRABBABLE,EATABLE,MOVABLE,,,,,
177,apple,GRABBABLE,MOVABLE,,,,,,
178,apple,GRABBABLE,MOVABLE,,,,,,
179,apple,GRABBABLE,MOVABLE,,,,,,
180,apple,GRABBABLE,MOVABLE,,,,,,
181,apple,GRABBABLE,MOVABLE,,,,,,
182,apple,GRABBABLE,MOVABLE,,,,,,
183,apple,GRABBABLE,MOVABLE,,,,,,
184,apple,GRABBABLE,MOVABLE,,,,,,
185,apple,GRABBABLE,MOVABLE,,,,,,
186,apple,GRABBABLE,MOVABLE,,,,,,
187,apple,GRABBABLE,MOVABLE,,,,,,
188,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
189,creamybuns,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
190,creamybuns,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
191,chips,GRABBABLE,MOVABLE,,,,,,
192,chips,GRABBABLE,MOVABLE,,,,,,
193,chocolatesyrup,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
194,bottlewater,DRINKABLE,POURABLE,,,,,,
195,milk,GRABBABLE,DRINKABLE,POURABLE,CLOSED,CAN_OPEN,MOVABLE,,
196,cereal,GRABBABLE,EATABLE,MOVABLE,,,,,
197,alcohol,GRABBABLE,DRINKABLE,POURABLE,,MOVABLE,,,
198,bottlewater,DRINKABLE,POURABLE,,,,,,
199,salad,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
200,salmon,GRABBABLE,MOVABLE,,,,,,
201,livingroom,,,,,,,,
202,floor,SURFACES,,,,,,,
203,floor,SURFACES,,,,,,,
204,floor,SURFACES,,,,,,,
205,floor,SURFACES,,,,,,,
206,floor,SURFACES,,,,,,,
207,floor,SURFACES,,,,,,,
208,floor,SURFACES,,,,,,,
209,floor,SURFACES,,,,,,,
210,floor,SURFACES,,,,,,,
211,door,CAN_OPEN,,,OPEN,,,,
212,doorjamb,,,,,,,,
213,ceiling,,,,,,,,
214,ceiling,,,,,,,,
215,ceiling,,,,,,,,
216,ceiling,,,,,,,,
217,ceiling,,,,,,,,
218,ceiling,,,,,,,,
219,ceiling,,,,,,,,
220,ceiling,,,,,,,,
221,ceiling,,,,,,,,
222,ceilinglamp,,,,,,,,
223,ceilinglamp,,,,,,,,
224,tablelamp,HAS_SWITCH,HAS_PLUG,,ON,,,,
225,wall,,,,,,,,
226,wall,,,,,,,,
227,wall,,,,,,,,
228,wall,,,,,,,,
229,wall,,,,,,,,
230,wall,,,,,,,,
231,wall,,,,,,,,
232,wall,,,,,,,,
233,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
234,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
235,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
236,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
237,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
238,pillow,GRABBABLE,MOVABLE,,,,,,
239,tvstand,SURFACES,MOVABLE,,,,,,
240,closet,CAN_OPEN,CONTAINERS,,CLOSED,,,,
241,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
242,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
243,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
244,clothespants,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
245,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
246,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
247,nightstand,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
248,desk,SURFACES,CAN_OPEN,MOVABLE,CLOSED,,,,
249,chair,SURFACES,GRABBABLE,SITTABLE,,MOVABLE,,,
250,bookshelf,SURFACES,CONTAINERS,,,,,,
251,sofa,SURFACES,SITTABLE,LIEABLE,,MOVABLE,,,
252,alcohol,GRABBABLE,DRINKABLE,POURABLE,,MOVABLE,,,
253,apple,GRABBABLE,MOVABLE,,,,,,
254,apple,GRABBABLE,MOVABLE,,,,,,
255,bananas,GRABBABLE,MOVABLE,,,,,,
256,lime,GRABBABLE,MOVABLE,,,,,,
257,peach,,,,,,,,
258,peach,,,,,,,,
259,plum,GRABBABLE,MOVABLE,,,,,,
260,plum,GRABBABLE,MOVABLE,,,,,,
261,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
262,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
263,breadslice,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
264,waterglass,GRABBABLE,RECIPIENT,POURABLE,,MOVABLE,,,
265,facecream,GRABBABLE,POURABLE,MOVABLE,,CREAM,,,
266,mug,GRABBABLE,RECIPIENT,POURABLE,,MOVABLE,,,
267,book,GRABBABLE,CUTTABLE,CAN_OPEN,CLOSED,READABLE,HAS_PAPER,MOVABLE,
268,book,GRABBABLE,CUTTABLE,CAN_OPEN,CLOSED,READABLE,HAS_PAPER,MOVABLE,
269,book,GRABBABLE,CUTTABLE,CAN_OPEN,CLOSED,READABLE,HAS_PAPER,MOVABLE,
270,photoframe,,,,,,,,
271,box,GRABBABLE,RECIPIENT,CAN_OPEN,CLOSED,CONTAINERS,COVER_OBJECT,MOVABLE,
272,book,GRABBABLE,CUTTABLE,CAN_OPEN,CLOSED,READABLE,HAS_PAPER,MOVABLE,
273,book,GRABBABLE,CUTTABLE,CAN_OPEN,CLOSED,READABLE,HAS_PAPER,MOVABLE,
274,cellphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,OFF,MOVABLE,,,
275,crackers,GRABBABLE,MOVABLE,,,,,,
276,garbagecan,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,,
277,cellphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,OFF,MOVABLE,,,
278,plate,SURFACES,GRABBABLE,RECIPIENT,,MOVABLE,,,
279,window,CAN_OPEN,,,CLOSED,,,,
280,window,CAN_OPEN,,,CLOSED,,,,
281,computer,HAS_SWITCH,LOOKABLE,,OFF,,,,
282,cpuscreen,,,,,,,,
283,keyboard,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
284,lightswitch,HAS_SWITCH,HAS_PLUG,,ON,,,,
285,mouse,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
286,mousemat,SURFACES,MOVABLE,,,,,,
287,tv,HAS_SWITCH,LOOKABLE,HAS_PLUG,OFF,,,,
288,ceilingfan,,,,,,,,
289,bedroom,,,,,,,,
290,doorjamb,,,,,,,,
291,door,CAN_OPEN,,,OPEN,,,,
292,doorjamb,,,,,,,,
293,wall,,,,,,,,
294,wall,,,,,,,,
295,wall,,,,,,,,
296,wall,,,,,,,,
297,wall,,,,,,,,
298,wall,,,,,,,,
299,ceiling,,,,,,,,
300,ceiling,,,,,,,,
301,ceiling,,,,,,,,
302,ceiling,,,,,,,,
303,ceiling,,,,,,,,
304,ceiling,,,,,,,,
305,floor,SURFACES,,,,,,,
306,floor,SURFACES,,,,,,,
307,floor,SURFACES,,,,,,,
308,floor,SURFACES,,,,,,,
309,floor,SURFACES,,,,,,,
310,floor,SURFACES,,,,,,,
311,bookshelf,SURFACES,CONTAINERS,,,,,,
312,chair,SURFACES,GRABBABLE,SITTABLE,,MOVABLE,,,
313,closet,CAN_OPEN,CONTAINERS,,CLOSED,,,,
314,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
315,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
316,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
317,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
318,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
319,clothespants,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
320,desk,SURFACES,CAN_OPEN,MOVABLE,CLOSED,,,,
321,desk,SURFACES,CAN_OPEN,MOVABLE,CLOSED,,,,
322,cabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
323,bed,SURFACES,SITTABLE,LIEABLE,,,,,
324,sundae,GRABBABLE,EATABLE,CUTTABLE,,MOVABLE,,,
325,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
326,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
327,juice,GRABBABLE,DRINKABLE,POURABLE,,MOVABLE,,,
328,candybar,GRABBABLE,EATABLE,MOVABLE,,,,,
329,wine,GRABBABLE,DRINKABLE,POURABLE,,MOVABLE,,,
330,computer,HAS_SWITCH,LOOKABLE,,OFF,,,,
331,cpuscreen,,,,,,,,
332,cpuscreen,,,,,,,,
333,cpuscreen,,,,,,,,
334,keyboard,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
335,mousemat,SURFACES,MOVABLE,,,,,,
336,mouse,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
337,powersocket,,,,,,,,
338,lightswitch,HAS_SWITCH,HAS_PLUG,,ON,,,,
339,powersocket,,,,,,,,
340,speaker,,,,,,,,
341,amplifier,,,,,,,,
342,speaker,,,,,,,,
343,radio,SURFACES,GRABBABLE,CAN_OPEN,OFF,HAS_SWITCH,HAS_PLUG,MOVABLE,
344,rug,SURFACES,GRABBABLE,SITTABLE,,LIEABLE,MOVABLE,,
345,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
346,orchid,,,,,,,,
347,pillow,GRABBABLE,MOVABLE,,,,,,
348,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
349,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
350,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
351,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
352,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
353,guitar,,,,,,,,
354,garbagecan,CAN_OPEN,CONTAINERS,MOVABLE,CLOSED,,,,
355,perfume,,,,,,,,
356,slippers,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
357,slippers,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
358,slippers,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
359,slippers,GRABBABLE,HANGABLE,CLOTHES,,MOVABLE,,,
360,wineglass,GRABBABLE,RECIPIENT,POURABLE,,MOVABLE,,,
361,boardgame,SURFACES,GRABBABLE,LOOKABLE,,MOVABLE,,,
362,wineglass,GRABBABLE,RECIPIENT,POURABLE,,MOVABLE,,,
363,wineglass,GRABBABLE,RECIPIENT,POURABLE,,MOVABLE,,,
364,magazine,GRABBABLE,CAN_OPEN,READABLE,CLOSED,COVER_OBJECT,HAS_PAPER,MOVABLE,
365,toy,GRABBABLE,MOVABLE,,,,,,
366,ceilinglamp,,,,,,,,
367,ceilinglamp,,,,,,,,
368,ceilinglamp,,,,,,,,
369,window,CAN_OPEN,,,CLOSED,,,,
