nodes/id,nodes/class_name,nodes/properties/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/properties/4,nodes/states/0,nodes/properties/5,nodes/states/1
130,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
131,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
132,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
133,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
134,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
135,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
136,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
137,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
138,closetdrawer,,,,,,,,
139,closetdrawer,,,,,,,,
140,closetdrawer,,,,,,,,
141,closetdrawer,,,,,,,,
142,closetdrawer,,,,,,,,
143,closetdrawer,,,,,,,,
144,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
145,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
146,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
147,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
148,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
149,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
150,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
151,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
152,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
153,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
154,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
155,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
156,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
157,toy,GRABBABLE,MOVABLE,,,,,,
158,toy,GRABBABLE,MOVABLE,,,,,,
159,kitchen,,,,,,,,
160,floor,SURFACES,,,,,,,
161,floor,SURFACES,,,,,,,
162,floor,SURFACES,,,,,,,
163,floor,SURFACES,,,,,,,
164,floor,SURFACES,,,,,,,
165,floor,SURFACES,,,,,,,
166,wall,,,,,,,,
167,wall,,,,,,,,
168,wall,,,,,,,,
169,wall,,,,,,,,
170,wall,,,,,,,,
171,wall,,,,,,,,
172,ceiling,,,,,,,,
173,ceiling,,,,,,,,
174,ceiling,,,,,,,,
175,ceiling,,,,,,,,
176,ceiling,,,,,,,,
177,ceiling,,,,,,,,
178,door,CAN_OPEN,,,,,OPEN,,
179,doorjamb,,,,,,,,
180,ceilinglamp,,,,,,,,
181,ceilinglamp,,,,,,,,
182,tvstand,SURFACES,MOVABLE,,,,,,
183,kitchentable,SURFACES,MOVABLE,,,,,,
184,bench,SURFACES,SITTABLE,LIEABLE,MOVABLE,,,,
185,bench,SURFACES,SITTABLE,LIEABLE,MOVABLE,,,,
186,kitchencounter,SURFACES,,,,,CLOSED,,
187,kitchencounterdrawer,,,,,,,,
188,kitchencounterdrawer,,,,,,,,
189,kitchencounterdrawer,,,,,,,,
190,kitchencounterdrawer,,,,,,,,
191,kitchencounterdrawer,,,,,,,,
192,kitchencounterdrawer,,,,,,,,
193,kitchencounterdrawer,,,,,,,,
194,kitchencounterdrawer,,,,,,,,
195,sink,RECIPIENT,CONTAINERS,,,,,,
196,faucet,HAS_SWITCH,,,,,OFF,,
197,bookshelf,SURFACES,CONTAINERS,,,,,,
198,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,,
199,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
200,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
201,orchid,,,,,,,,
202,lightswitch,HAS_SWITCH,HAS_PLUG,,,,ON,,
203,powersocket,,,,,,,,
204,tv,HAS_SWITCH,LOOKABLE,HAS_PLUG,,,OFF,,
205,radio,SURFACES,GRABBABLE,CAN_OPEN,HAS_SWITCH,HAS_PLUG,OFF,MOVABLE,
206,clock,GRABBABLE,HAS_SWITCH,LOOKABLE,HAS_PLUG,MOVABLE,OFF,,
207,wallphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,MOVABLE,,OFF,,
208,washingsponge,GRABBABLE,MOVABLE,,,,,,
209,dishwashingliquid,GRABBABLE,POURABLE,MOVABLE,CREAM,,,,
210,book,GRABBABLE,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,CLOSED,MOVABLE,
211,fryingpan,SURFACES,GRABBABLE,RECIPIENT,CONTAINERS,MOVABLE,,,
212,waterglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
213,cutleryknife,GRABBABLE,MOVABLE,,,,,,
214,cutleryfork,GRABBABLE,MOVABLE,,,,,,
215,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
216,waterglass,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
217,cutleryknife,GRABBABLE,MOVABLE,,,,,,
218,cutleryfork,GRABBABLE,MOVABLE,,,,,,
219,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
220,condimentshaker,GRABBABLE,EATABLE,POURABLE,MOVABLE,,,,
221,photoframe,,,,,,,,
222,cellphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,MOVABLE,,OFF,,
223,mug,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
224,coffeepot,GRABBABLE,RECIPIENT,CAN_OPEN,MOVABLE,,CLOSED,,
225,cuttingboard,SURFACES,GRABBABLE,MOVABLE,,,,,
226,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,CLOSED,MOVABLE,
227,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,CLOSED,MOVABLE,
228,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,CLOSED,MOVABLE,
229,cuttingboard,SURFACES,GRABBABLE,MOVABLE,,,,,
230,dishbowl,GRABBABLE,RECIPIENT,MOVABLE,,,,,
231,stove,SURFACES,CAN_OPEN,HAS_SWITCH,CONTAINERS,,OFF,,CLOSED
232,oventray,SURFACES,GRABBABLE,MOVABLE,,,,,
233,toaster,HAS_SWITCH,CONTAINERS,HAS_PLUG,MOVABLE,,OFF,,
234,breadslice,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
235,breadslice,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
236,fridge,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,,CLOSED,,
237,stovefan,,,,,,,,
238,coffeemaker,RECIPIENT,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,OFF,MOVABLE,
239,coffeepot,GRABBABLE,RECIPIENT,CAN_OPEN,MOVABLE,,CLOSED,,
240,microwave,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,,CLOSED,,OFF
241,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
242,whippedcream,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
243,chips,GRABBABLE,MOVABLE,,,,,,
244,carrot,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
245,salad,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
246,milk,GRABBABLE,DRINKABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,,
247,milk,GRABBABLE,DRINKABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,,
248,bottlewater,DRINKABLE,POURABLE,,,,,,
249,cereal,GRABBABLE,EATABLE,MOVABLE,,,,,
250,milk,GRABBABLE,DRINKABLE,POURABLE,CAN_OPEN,MOVABLE,CLOSED,,
251,salmon,GRABBABLE,MOVABLE,,,,,,
252,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
253,livingroom,,,,,,,,
254,floor,SURFACES,,,,,,,
255,floor,SURFACES,,,,,,,
256,floor,SURFACES,,,,,,,
257,floor,SURFACES,,,,,,,
258,floor,SURFACES,,,,,,,
259,floor,SURFACES,,,,,,,
260,floor,SURFACES,,,,,,,
261,floor,SURFACES,,,,,,,
262,floor,SURFACES,,,,,,,
263,wall,,,,,,,,
264,wall,,,,,,,,
265,wall,,,,,,,,
266,wall,,,,,,,,
267,wall,,,,,,,,
268,wall,,,,,,,,
269,wall,,,,,,,,
270,wall,,,,,,,,
271,ceiling,,,,,,,,
272,ceiling,,,,,,,,
273,ceiling,,,,,,,,
274,ceiling,,,,,,,,
275,ceiling,,,,,,,,
276,ceiling,,,,,,,,
277,ceiling,,,,,,,,
278,ceiling,,,,,,,,
279,ceiling,,,,,,,,
280,doorjamb,,,,,,,,
281,doorjamb,,,,,,,,
282,window,CAN_OPEN,,,,,CLOSED,,
283,ceilinglamp,,,,,,,,
284,walllamp,,,,,,,,
285,walllamp,,,,,,,,
286,sofa,SURFACES,SITTABLE,LIEABLE,MOVABLE,,,,
287,bookshelf,SURFACES,CONTAINERS,,,,,,
288,coffeetable,SURFACES,MOVABLE,,,,,,
289,desk,SURFACES,CAN_OPEN,MOVABLE,,,CLOSED,,
290,chair,SURFACES,GRABBABLE,SITTABLE,MOVABLE,,,,
291,closet,CAN_OPEN,CONTAINERS,,,,CLOSED,,
292,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
293,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
294,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
295,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
296,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
297,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
298,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
299,clothespants,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
300,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
301,clothesshirt,GRABBABLE,HANGABLE,CLOTHES,MOVABLE,,,,
302,hanger,GRABBABLE,HANGABLE,MOVABLE,,,,,
303,closetdrawer,,,,,,,,
304,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
305,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
306,closetdrawer,,,,,,,,
307,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
308,closetdrawer,,,,,,,,
309,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
310,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
311,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
312,cabinet,SURFACES,CAN_OPEN,CONTAINERS,,,CLOSED,,
313,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
314,rug,SURFACES,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,,
315,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,MOVABLE,,,,
316,pillow,GRABBABLE,MOVABLE,,,,,,
317,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,,,CLOSED,,
318,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,,,CLOSED,,
319,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,,,CLOSED,,
320,tv,HAS_SWITCH,LOOKABLE,HAS_PLUG,,,OFF,,
321,lightswitch,HAS_SWITCH,HAS_PLUG,,,,ON,,
322,powersocket,,,,,,,,
323,mouse,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
324,mousemat,SURFACES,MOVABLE,,,,,,
325,cpuscreen,,,,,,,,
326,computer,HAS_SWITCH,LOOKABLE,,,,OFF,,
327,keyboard,GRABBABLE,HAS_PLUG,MOVABLE,,,,,
328,mug,GRABBABLE,RECIPIENT,POURABLE,MOVABLE,,,,
329,cellphone,GRABBABLE,HAS_SWITCH,HAS_PLUG,MOVABLE,,OFF,,
330,paper,GRABBABLE,READABLE,HAS_PAPER,MOVABLE,,,,
331,magazine,GRABBABLE,CAN_OPEN,READABLE,COVER_OBJECT,HAS_PAPER,CLOSED,MOVABLE,
332,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,CLOSED,MOVABLE,
333,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,CLOSED,MOVABLE,
334,folder,GRABBABLE,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,CLOSED,MOVABLE,
335,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
336,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
337,clothespile,GRABBABLE,CAN_OPEN,CONTAINERS,MOVABLE,,CLOSED,,
338,deodorant,,,,,,,,
339,remotecontrol,GRABBABLE,HAS_SWITCH,MOVABLE,,,OFF,,
340,notes,GRABBABLE,READABLE,HAS_PAPER,MOVABLE,,,,
341,plate,SURFACES,GRABBABLE,RECIPIENT,MOVABLE,,,,
342,cupcake,GRABBABLE,EATABLE,MOVABLE,,,,,
343,breadslice,GRABBABLE,EATABLE,CUTTABLE,MOVABLE,,,,
