nodes/id,nodes/class_name,nodes/properties/0,nodes/states/0,nodes/properties/1,nodes/properties/2,nodes/properties/3,nodes/properties/4,nodes/states/1,nodes/properties/5
147,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,,MOVABLE
148,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,,MOVABLE
149,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,,MOVABLE
150,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
151,condimentshaker,GRABBABLE,,EATABLE,POURABLE,MOVABLE,,,
152,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
153,condimentbottle,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
154,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
155,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
156,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
157,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
158,mug,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
159,photoframe,,,,,,,,
160,cellphone,GRABBABLE,OFF,HAS_SWITCH,HAS_PLUG,MOVABLE,,,
161,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
162,orchid,,,,,,,,
163,candle,GRABBABLE,OFF,HAS_SWITCH,MOVABLE,,,,
164,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
165,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
166,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
167,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
168,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
169,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
170,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
171,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
172,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
173,powersocket,,,,,,,,
174,wallphone,GRABBABLE,OFF,HAS_SWITCH,HAS_PLUG,MOVABLE,,,
175,bathroom,,,,,,,,
176,wall,,,,,,,,
177,wall,,,,,,,,
178,wall,,,,,,,,
179,wall,,,,,,,,
180,ceiling,,,,,,,,
181,ceiling,,,,,,,,
182,ceiling,,,,,,,,
183,ceiling,,,,,,,,
184,floor,SURFACES,,,,,,,
185,floor,SURFACES,,,,,,,
186,floor,SURFACES,,,,,,,
187,floor,SURFACES,,,,,,,
188,walllamp,,,,,,,,
189,ceilinglamp,,,,,,,,
190,walllamp,,,,,,,,
191,toilet,SITTABLE,CLOSED,CAN_OPEN,CONTAINERS,,,,
192,stall,,,,,,,,
193,bathroomcabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
194,stall,,,,,,,,
195,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
196,bathroomcounter,SURFACES,CLOSED,,,,,,
197,sink,RECIPIENT,,CONTAINERS,,,,,
198,faucet,HAS_SWITCH,OFF,,,,,,
199,garbagecan,CAN_OPEN,CLOSED,CONTAINERS,MOVABLE,,,,
200,toothbrush,GRABBABLE,,RECIPIENT,MOVABLE,,,,
201,waterglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
202,barsoap,GRABBABLE,,MOVABLE,CREAM,,,,
203,deodorant,,,,,,,,
204,facecream,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
205,hairproduct,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,,,
206,hairproduct,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,,,
207,toothpaste,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,CREAM,,
208,toiletpaper,GRABBABLE,,HANGABLE,CUTTABLE,COVER_OBJECT,HAS_PAPER,,MOVABLE
209,towel,GRABBABLE,,COVER_OBJECT,MOVABLE,,,,
210,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
211,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
212,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
213,washingmachine,RECIPIENT,CLOSED,CAN_OPEN,HAS_SWITCH,CONTAINERS,HAS_PLUG,OFF,
214,bedroom,,,,,,,,
215,bookshelf,SURFACES,,CONTAINERS,,,,,
216,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
217,desk,SURFACES,CLOSED,CAN_OPEN,MOVABLE,,,,
218,nightstand,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
219,bed,SURFACES,,SITTABLE,LIEABLE,,,,
220,cabinet,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
221,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
222,powersocket,,,,,,,,
223,radio,SURFACES,OFF,GRABBABLE,CAN_OPEN,HAS_SWITCH,HAS_PLUG,,MOVABLE
224,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,,MOVABLE
225,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,,MOVABLE
226,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
227,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,,MOVABLE
228,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,,MOVABLE
229,photoframe,,,,,,,,
230,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,,MOVABLE
231,facecream,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
232,deodorant,,,,,,,,
233,perfume,,,,,,,,
234,apple,GRABBABLE,,MOVABLE,,,,,
235,apple,GRABBABLE,,MOVABLE,,,,,
236,apple,GRABBABLE,,MOVABLE,,,,,
237,apple,GRABBABLE,,MOVABLE,,,,,
238,apple,GRABBABLE,,MOVABLE,,,,,
239,apple,GRABBABLE,,MOVABLE,,,,,
240,apple,GRABBABLE,,MOVABLE,,,,,
241,apple,GRABBABLE,,MOVABLE,,,,,
242,apple,GRABBABLE,,MOVABLE,,,,,
243,apple,GRABBABLE,,MOVABLE,,,,,
244,apple,GRABBABLE,,MOVABLE,,,,,
245,dishbowl,GRABBABLE,,RECIPIENT,MOVABLE,,,,
246,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,,MOVABLE
247,painkillers,,,,,,,,
248,cupcake,GRABBABLE,,EATABLE,MOVABLE,,,,
249,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
250,book,GRABBABLE,CLOSED,CUTTABLE,CAN_OPEN,READABLE,HAS_PAPER,,MOVABLE
251,notes,GRABBABLE,,READABLE,HAS_PAPER,MOVABLE,,,
252,cellphone,GRABBABLE,OFF,HAS_SWITCH,HAS_PLUG,MOVABLE,,,
253,doorjamb,,,,,,,,
254,door,CAN_OPEN,OPEN,,,,,,
255,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
256,pillow,GRABBABLE,,MOVABLE,,,,,
257,pillow,GRABBABLE,,MOVABLE,,,,,
258,ceilinglamp,,,,,,,,
259,floor,SURFACES,,,,,,,
260,floor,SURFACES,,,,,,,
261,floor,SURFACES,,,,,,,
262,floor,SURFACES,,,,,,,
263,ceiling,,,,,,,,
264,ceiling,,,,,,,,
265,ceiling,,,,,,,,
266,ceiling,,,,,,,,
267,wall,,,,,,,,
268,wall,,,,,,,,
269,wall,,,,,,,,
270,wall,,,,,,,,
271,livingroom,,,,,,,,
272,coffeetable,SURFACES,,MOVABLE,,,,,
273,bookshelf,SURFACES,,CONTAINERS,,,,,
274,desk,SURFACES,CLOSED,CAN_OPEN,MOVABLE,,,,
275,tvstand,SURFACES,,MOVABLE,,,,,
276,bookshelf,SURFACES,,CONTAINERS,,,,,
277,chair,SURFACES,,GRABBABLE,SITTABLE,MOVABLE,,,
278,nightstand,SURFACES,CLOSED,CAN_OPEN,CONTAINERS,,,,
279,sofa,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
280,sofa,SURFACES,,SITTABLE,LIEABLE,MOVABLE,,,
281,closet,CAN_OPEN,CLOSED,CONTAINERS,,,,,
282,hanger,GRABBABLE,,HANGABLE,MOVABLE,,,,
283,hanger,GRABBABLE,,HANGABLE,MOVABLE,,,,
284,hanger,GRABBABLE,,HANGABLE,MOVABLE,,,,
285,hanger,GRABBABLE,,HANGABLE,MOVABLE,,,,
286,hanger,GRABBABLE,,HANGABLE,MOVABLE,,,,
287,hanger,GRABBABLE,,HANGABLE,MOVABLE,,,,
288,hanger,GRABBABLE,,HANGABLE,MOVABLE,,,,
289,closetdrawer,,,,,,,,
290,closetdrawer,,,,,,,,
291,closetdrawer,,,,,,,,
292,closetdrawer,,,,,,,,
293,closetdrawer,,,,,,,,
294,closetdrawer,,,,,,,,
295,closetdrawer,,,,,,,,
296,computer,HAS_SWITCH,OFF,LOOKABLE,,,,,
297,cpuscreen,,,,,,,,
298,keyboard,GRABBABLE,,HAS_PLUG,MOVABLE,,,,
299,mousemat,SURFACES,,MOVABLE,,,,,
300,mouse,GRABBABLE,,HAS_PLUG,MOVABLE,,,,
301,tv,HAS_SWITCH,OFF,LOOKABLE,HAS_PLUG,,,,
302,powersocket,,,,,,,,
303,lightswitch,HAS_SWITCH,ON,HAS_PLUG,,,,,
304,rug,SURFACES,,GRABBABLE,SITTABLE,LIEABLE,MOVABLE,,
305,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
306,orchid,,,,,,,,
307,wallpictureframe,GRABBABLE,,HANGABLE,HAS_PAPER,MOVABLE,,,
308,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
309,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
310,curtains,CAN_OPEN,CLOSED,COVER_OBJECT,MOVABLE,,,,
311,pillow,GRABBABLE,,MOVABLE,,,,,
312,pillow,GRABBABLE,,MOVABLE,,,,,
313,pillow,GRABBABLE,,MOVABLE,,,,,
314,pillow,GRABBABLE,,MOVABLE,,,,,
315,clothespile,GRABBABLE,CLOSED,CAN_OPEN,CONTAINERS,MOVABLE,,,
316,clothespile,GRABBABLE,CLOSED,CAN_OPEN,CONTAINERS,MOVABLE,,,
317,perfume,,,,,,,,
318,photoframe,,,,,,,,
319,facecream,GRABBABLE,,POURABLE,MOVABLE,CREAM,,,
320,deodorant,,,,,,,,
321,hairproduct,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,,,
322,hairproduct,GRABBABLE,CLOSED,POURABLE,CAN_OPEN,MOVABLE,,,
323,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,,MOVABLE
324,box,GRABBABLE,CLOSED,RECIPIENT,CAN_OPEN,CONTAINERS,COVER_OBJECT,,MOVABLE
325,wineglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
326,wineglass,GRABBABLE,,RECIPIENT,POURABLE,MOVABLE,,,
327,cupcake,GRABBABLE,,EATABLE,MOVABLE,,,,
328,milkshake,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
329,plate,SURFACES,,GRABBABLE,RECIPIENT,MOVABLE,,,
330,folder,GRABBABLE,CLOSED,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,,MOVABLE
331,folder,GRABBABLE,CLOSED,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,,MOVABLE
332,folder,GRABBABLE,CLOSED,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,,MOVABLE
333,folder,GRABBABLE,CLOSED,CAN_OPEN,READABLE,CONTAINERS,HAS_PAPER,,MOVABLE
334,ceilinglamp,,,,,,,,
335,walllamp,,,,,,,,
336,walllamp,,,,,,,,
337,walllamp,,,,,,,,
338,walllamp,,,,,,,,
339,walllamp,,,,,,,,
340,walllamp,,,,,,,,
341,tablelamp,HAS_SWITCH,ON,HAS_PLUG,,,,,
342,wall,,,,,,,,
343,wall,,,,,,,,
344,wall,,,,,,,,
345,wall,,,,,,,,
346,wall,,,,,,,,
347,wall,,,,,,,,
348,wall,,,,,,,,
349,wall,,,,,,,,
350,ceiling,,,,,,,,
351,ceiling,,,,,,,,
352,ceiling,,,,,,,,
353,ceiling,,,,,,,,
354,ceiling,,,,,,,,
355,ceiling,,,,,,,,
356,ceiling,,,,,,,,
357,ceiling,,,,,,,,
358,ceiling,,,,,,,,
359,floor,SURFACES,,,,,,,
360,floor,SURFACES,,,,,,,
361,floor,SURFACES,,,,,,,
362,floor,SURFACES,,,,,,,
363,floor,SURFACES,,,,,,,
364,floor,SURFACES,,,,,,,
365,floor,SURFACES,,,,,,,
366,floor,SURFACES,,,,,,,
367,floor,SURFACES,,,,,,,
368,doorjamb,,,,,,,,
369,doorjamb,,,,,,,,
370,door,CAN_OPEN,OPEN,,,,,,
371,window,CAN_OPEN,CLOSED,,,,,,
372,breadslice,GRABBABLE,,EATABLE,CUTTABLE,MOVABLE,,,
